team,vs_rhp_wrc_30d,vs_lhp_wrc_30d,season_offense_score
ARI,95.8,95.8,95.8
ATH,101.8,101.8,101.8
ATL,109.5,109.5,109.5
BAL,103.6,103.6,103.6
BOS,91.3,91.3,91.3
CHC,101.4,101.4,101.4
CIN,98.3,98.3,98.3
CLE,95.6,95.6,95.6
COL,97.2,97.2,97.2
CWS,104.1,104.1,104.1
DET,97.6,97.6,97.6
HOU,102.4,102.4,102.4
KC,93.7,93.7,93.7
LAA,98.7,98.7,98.7
LAD,114.1,114.1,114.1
MIA,96.9,96.9,96.9
MIL,106.9,106.9,106.9
MIN,99.3,99.3,99.3
NYM,91.1,91.1,91.1
NYY,111.7,111.7,111.7
PHI,96.5,96.5,96.5
PIT,106.9,106.9,106.9
SD,91.4,91.4,91.4
SEA,99.1,99.1,99.1
SF,96.2,96.2,96.2
STL,100.6,100.6,100.6
TB,100.3,100.3,100.3
TEX,95.5,95.5,95.5
TOR,94.1,94.1,94.1
WSH,108.5,108.5,108.5
