Date,Pitcher,Pick,Actual_K,Actual_IP,Result
2026-06-15,Chase Burns,O 7.5,7,5.0,LOSS
2026-06-15,MacKenzie Gore,O 5.5,10,7.0,WIN
2026-06-15,Dustin May,O 4.5,9,9.0,WIN
2026-06-15,Ryan Gusto,U 3.5,1,3.1,WIN
2026-06-15,J.T. Ginn,U 4.5,3,6.0,WIN
2026-06-15,Zack Wheeler,O 6.5,9,6.0,WIN
2026-06-15,Shota Imanaga,U 6.5,3,5.2,WIN
2026-06-15,Ryne Nelson,U 4.5,5,7.0,LOSS
2026-06-15,Jared Jones,NL,4,4.0,NL
2026-06-15,Nick Martinez,O 3.5,6,5.1,WIN
2026-06-15,Eric Lauer,U 3.5,4,6.0,LOSS
2026-06-15,Andrew Alvarez,U 4.5,5,4.0,LOSS
2026-06-15,Mitch Spence,U 3.5,1,4.0,WIN
2026-06-15,Michael Lorenzen,U 4.5,5,5.0,LOSS
2026-06-15,Walbert Ureña,U 4.5,3,7.0,WIN
2026-06-15,Tobias Myers,U 2.5,1,1.1,WIN
2026-06-16,Framber Valdez,O 4.5,6,6.0,WIN
2026-06-16,Hunter Brown,O 6.5,7,5.2,WIN
2026-06-16,Michael King,O 4.5,5,4.1,WIN
2026-06-16,Andre Pallante,O 3.5,6,7.0,WIN
2026-06-16,Brandon Young,U 4.5,2,6.0,WIN
2026-06-16,Logan Gilbert,O 6.5,10,7.0,WIN
2026-06-16,Justin Wrobleski,U 4.5,5,6.0,LOSS
2026-06-16,Drew Rasmussen,O 5.5,7,7.0,WIN
2026-06-16,Kumar Rocker,U 4.5,4,3.1,WIN
2026-06-16,Zebby Matthews,O 4.5,4,7.0,LOSS
2026-06-16,Davis Martin,O 5.5,4,3.1,LOSS
2026-06-16,Gerrit Cole,U 5.5,6,6.0,LOSS
2026-06-16,Payton Tolle,O 4.5,6,5.0,WIN
2026-06-16,Michael Wacha,O 4.5,3,6.0,LOSS
2026-06-16,Foster Griffin,U 5.5,6,6.0,LOSS
2026-06-16,Reid Detmers,O 5.5,6,7.0,WIN
2026-06-16,Merrill Kelly,U 4.5,4,5.1,WIN
2026-06-16,Jesús Luzardo,O 6.5,9,7.0,WIN
2026-06-16,Tyler Phillips,U 3.5,4,4.0,LOSS
2026-06-16,Brady Singer,U 4.5,5,5.0,LOSS
2026-06-16,Kodai Senga,U 5.5,5,4.0,WIN
2026-06-16,Robert Gasser,U 4.5,5,5.2,LOSS
2026-06-16,Slade Cecconi,U 4.5,4,5.2,WIN
2026-06-16,Edward Cabrera,U 5.5,3,4.1,WIN
2026-06-16,Ryan Feltner,U 3.5,7,4.2,LOSS
2026-06-16,Jack Perkins,U 4.5,6,5.0,LOSS
2026-06-18,Tatsuya Imai,O 4.5,11,6.0,WIN
2026-06-18,Cam Schlittler,O 6.5,13,6.0,WIN
2026-06-18,Jacob Misiorowski,O 8.5,7,6.0,LOSS
