Date,Pitcher,Team,Opponent,Home/Away,IP,BF,Pitch Count,H,R,ER,HR,BB,K,WHIP,GamePk,Season Source
2026-05-26,A.J. Minter,NYM,CIN,Home,1,4,16,1,0,0,0,0,2,1,823624,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-05-29,A.J. Minter,NYM,MIA,Home,1,3,14,0,0,0,0,0,2,0,823623,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-01,A.J. Minter,NYM,SEA,Away,0.3333333333333333,2,9,1,1,0,0,0,1,3,823131,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-02,A.J. Minter,NYM,SEA,Away,1,4,19,1,0,0,0,1,1,2,823129,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-05,A.J. Minter,NYM,SD,Away,1,4,14,0,0,0,0,0,0,0,823293,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-07,A.J. Minter,NYM,SD,Away,1,4,13,1,0,0,0,0,0,1,823291,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-11,A.J. Minter,NYM,STL,Home,1.3333333333333333,4,14,0,0,0,0,0,0,0,823619,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-14,A.J. Minter,NYM,ATL,Home,0.6666666666666666,2,4,0,0,0,0,0,1,0,823615,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-18,A.J. Minter,NYM,PHI,Away,0.6666666666666666,2,8,0,0,0,0,0,0,0,823448,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-21,A.J. Minter,NYM,PHI,Away,1,3,9,0,0,0,0,0,0,0,823449,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-23,A.J. Minter,NYM,CHC,Home,1,4,14,1,0,0,0,0,1,1,823614,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-06-24,A.J. Minter,NYM,CHC,Home,1,5,19,0,1,0,0,0,1,0,823611,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-03-26,AJ Blubaugh,HOU,LAA,Home,2.3333333333333335,9,41,2,1,1,1,0,3,0.86,824218,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
2026-03-29,AJ Blubaugh,HOU,LAA,Home,2,6,23,0,0,0,0,0,2,0,824215,MLB_SEASON_TO_DATE_PULLER_FIX_2026_06_11
